prvdr_id,msr_cd,scr,sample,footnote
041319,IMM_2,Not Available,Not Available,5
041319,IMM_1a,Not Available,Not Available,5
041320,IMM_2,Not Available,Not Available,5
041320,IMM_1a,Not Available,Not Available,5
041321,IMM_2,91,125,2
041321,IMM_1a,88,56,2
041322,IMM_2,Not Available,Not Available,5
041322,IMM_1a,Not Available,Not Available,5
041323,IMM_2,Not Available,Not Available,5
041323,IMM_1a,Not Available,Not Available,5
041324,IMM_2,Not Available,Not Available,5
041324,IMM_1a,Not Available,Not Available,5
041326,IMM_2,Not Available,Not Available,5
041326,IMM_1a,Not Available,Not Available,5
041327,IMM_2,100,40,2
041327,IMM_1a,100,28,2
041328,IMM_2,Not Available,Not Available,5
041328,IMM_1a,Not Available,Not Available,5
041329,IMM_2,81,149,2
041329,IMM_1a,95,109,2
041330,IMM_2,100,12,1
041330,IMM_1a,100,12,1
041331,IMM_2,Not Available,Not Available,5
041331,IMM_1a,Not Available,Not Available,5
043300,IMM_2,Not Available,Not Available,5
043300,IMM_1a,Not Available,Not Available,5
050002,IMM_2,98,245,
050002,IMM_1a,99,157,
050006,IMM_2,54,276,2
050006,IMM_1a,60,166,2
050007,IMM_2,96,309,
050007,IMM_1a,95,218,
050008,IMM_2,30,179,
050008,IMM_1a,36,104,
050009,IMM_2,86,295,2
050009,IMM_1a,95,220,2
050013,IMM_2,59,283,2
050013,IMM_1a,67,168,2
050014,IMM_2,84,151,
050014,IMM_1a,84,99,
050016,IMM_2,84,156,
050016,IMM_1a,85,106,
050017,IMM_2,98,293,
050017,IMM_1a,97,180,
050018,IMM_2,68,238,
050018,IMM_1a,90,126,
050022,IMM_2,96,248,2
050022,IMM_1a,88,153,2
050024,IMM_2,93,284,2
050024,IMM_1a,94,187,2
050025,IMM_2,91,286,2
050025,IMM_1a,72,132,2
050026,IMM_2,96,270,2
050026,IMM_1a,94,159,2
050028,IMM_2,23,124,2
050028,IMM_1a,38,66,2
050030,IMM_2,87,262,2
050030,IMM_1a,85,254,2
050036,IMM_2,93,263,
050036,IMM_1a,96,156,
050038,IMM_2,77,261,2
050038,IMM_1a,85,87,2
050039,IMM_2,92,309,
050039,IMM_1a,95,198,
050040,IMM_2,97,295,2
050040,IMM_1a,91,135,2
050042,IMM_2,61,166,
050042,IMM_1a,76,102,
050043,IMM_2,87,317,
050043,IMM_1a,82,256,
050045,IMM_2,62,252,
050045,IMM_1a,82,144,
050046,IMM_2,88,167,
050046,IMM_1a,90,125,
050047,IMM_2,34,254,
050047,IMM_1a,52,118,
050054,IMM_2,91,143,2
050054,IMM_1a,95,114,2
050055,IMM_2,86,203,
050055,IMM_1a,91,114,
050056,IMM_2,96,353,
050056,IMM_1a,98,180,
050057,IMM_2,80,242,
050057,IMM_1a,93,131,
050058,IMM_2,89,313,
050058,IMM_1a,92,210,
050060,IMM_2,73,306,2
050060,IMM_1a,82,155,2
050063,IMM_2,36,211,2
050063,IMM_1a,54,100,2
050067,IMM_2,81,135,
050067,IMM_1a,93,75,
050069,IMM_2,85,240,2
050069,IMM_1a,82,113,2
050070,IMM_2,94,280,2
050070,IMM_1a,92,226,2
050071,IMM_2,86,244,2
050071,IMM_1a,82,131,2
050072,IMM_2,86,241,2
050072,IMM_1a,90,144,2
050073,IMM_2,75,250,2
050073,IMM_1a,76,147,2
050075,IMM_2,86,273,2
050075,IMM_1a,87,153,2
050076,IMM_2,95,253,2
050076,IMM_1a,89,132,2
050077,IMM_2,74,467,
050077,IMM_1a,86,277,
050078,IMM_2,78,268,2
050078,IMM_1a,93,150,2
050079,IMM_2,80,291,
050079,IMM_1a,81,243,
050082,IMM_2,64,293,
050082,IMM_1a,84,166,
050084,IMM_2,78,285,
050084,IMM_1a,88,173,
050089,IMM_2,96,274,
050089,IMM_1a,97,117,
050090,IMM_2,91,140,
050090,IMM_1a,87,83,
050091,IMM_2,80,206,2
050091,IMM_1a,93,114,2
050093,IMM_2,86,266,
050093,IMM_1a,92,179,
050096,IMM_2,92,36,
050096,IMM_1a,93,15,1
050099,IMM_2,90,284,
050099,IMM_1a,97,152,
050100,IMM_2,87,483,2
050100,IMM_1a,90,206,2
050101,IMM_2,92,275,
050101,IMM_1a,95,162,
050102,IMM_2,87,238,
050102,IMM_1a,84,127,
050103,IMM_2,63,271,2
050103,IMM_1a,76,148,2
050104,IMM_2,66,241,2
050104,IMM_1a,92,96,2
050107,IMM_2,72,337,
050107,IMM_1a,79,165,
050108,IMM_2,88,288,
050108,IMM_1a,91,169,
050110,IMM_2,82,135,
050110,IMM_1a,92,89,
050111,IMM_2,100,158,
050111,IMM_1a,99,132,
050112,IMM_2,76,277,2
050112,IMM_1a,82,173,2
050113,IMM_2,51,196,2
050113,IMM_1a,55,82,2
050115,IMM_2,61,262,2
050115,IMM_1a,63,135,2
050116,IMM_2,90,317,
050116,IMM_1a,90,159,
050118,IMM_2,90,223,2
050118,IMM_1a,95,149,2
050121,IMM_2,95,540,2
050121,IMM_1a,93,347,2
050122,IMM_2,96,249,
050122,IMM_1a,98,148,
050124,IMM_2,75,268,2
050124,IMM_1a,87,181,2
050125,IMM_2,96,279,2
050125,IMM_1a,95,195,2
050126,IMM_2,54,557,2
050126,IMM_1a,66,230,2
050127,IMM_2,90,164,
050127,IMM_1a,90,89,
050128,IMM_2,70,347,2
050128,IMM_1a,86,220,2
050129,IMM_2,87,280,
050129,IMM_1a,90,180,
050131,IMM_2,90,162,
050131,IMM_1a,92,122,
050132,IMM_2,86,321,2
050132,IMM_1a,88,172,2
050133,IMM_2,74,265,
050133,IMM_1a,78,161,
050135,IMM_2,73,163,2
050135,IMM_1a,59,123,2
050136,IMM_2,83,134,2
050136,IMM_1a,82,83,2
050137,IMM_2,93,260,2
050137,IMM_1a,96,154,2
050138,IMM_2,77,473,2
050138,IMM_1a,86,312,2
050139,IMM_2,83,259,2
050139,IMM_1a,90,135,2
050140,IMM_2,82,256,2
050140,IMM_1a,88,135,2
050145,IMM_2,71,331,
050145,IMM_1a,77,205,
050149,IMM_2,89,313,
050149,IMM_1a,90,124,
050150,IMM_2,84,286,
050150,IMM_1a,92,193,
050152,IMM_2,93,243,
050152,IMM_1a,97,147,
050153,IMM_2,75,234,2
050153,IMM_1a,86,129,2
050158,IMM_2,100,185,
050158,IMM_1a,100,147,
050159,IMM_2,67,297,
050159,IMM_1a,76,96,
050167,IMM_2,64,260,
050167,IMM_1a,77,127,
050168,IMM_2,71,262,2
050168,IMM_1a,80,181,2
050169,IMM_2,96,331,2
050169,IMM_1a,94,199,2
050174,IMM_2,84,264,2
050174,IMM_1a,85,169,2
050179,IMM_2,98,258,
050179,IMM_1a,94,141,
050180,IMM_2,74,254,
050180,IMM_1a,93,153,
050189,IMM_2,23,106,2
050189,IMM_1a,48,29,2
050191,IMM_2,87,247,
050191,IMM_1a,80,123,
050192,IMM_2,62,112,2
050192,IMM_1a,54,35,2
050194,IMM_2,96,275,2
050194,IMM_1a,97,152,2
050195,IMM_2,86,271,
050195,IMM_1a,92,168,
050196,IMM_2,62,101,2
050196,IMM_1a,Too few cases,Too few cases,1
050197,IMM_2,98,320,
050197,IMM_1a,97,196,
050204,IMM_2,89,349,
050204,IMM_1a,94,239,
050205,IMM_2,53,503,
050205,IMM_1a,53,312,
050211,IMM_2,92,148,
050211,IMM_1a,94,125,
050222,IMM_2,87,245,2
050222,IMM_1a,90,165,2
050224,IMM_2,84,475,
050224,IMM_1a,82,287,
050225,IMM_2,90,273,2
050225,IMM_1a,93,164,2
050226,IMM_2,84,262,2
050226,IMM_1a,99,156,2
050228,IMM_2,71,289,2
050228,IMM_1a,76,140,2
050230,IMM_2,100,236,
050230,IMM_1a,100,114,
050231,IMM_2,92,224,
050231,IMM_1a,93,83,
050232,IMM_2,88,226,
050232,IMM_1a,85,148,
050234,IMM_2,93,168,2
050234,IMM_1a,90,110,2
050235,IMM_2,95,268,2
050235,IMM_1a,95,164,2
050236,IMM_2,95,268,2
050236,IMM_1a,94,165,2
050238,IMM_2,74,286,
050238,IMM_1a,87,181,
050239,IMM_2,89,269,2
050239,IMM_1a,92,165,2
050242,IMM_2,86,314,
050242,IMM_1a,94,188,
050243,IMM_2,83,264,2
050243,IMM_1a,90,137,2
050245,IMM_2,91,321,2
050245,IMM_1a,89,318,2
050248,IMM_2,46,215,2
050248,IMM_1a,82,66,2
050254,IMM_2,96,257,
050254,IMM_1a,95,174,
050257,IMM_2,94,149,
050257,IMM_1a,90,109,
050261,IMM_2,68,260,
050261,IMM_1a,85,121,
050262,IMM_2,50,260,
050262,IMM_1a,69,71,
050272,IMM_2,78,252,
050272,IMM_1a,95,152,
050276,IMM_2,86,258,
050276,IMM_1a,77,121,
050277,IMM_2,95,306,
050277,IMM_1a,89,144,
050278,IMM_2,81,262,2
050278,IMM_1a,79,161,2
050279,IMM_2,79,197,
050279,IMM_1a,95,130,
050280,IMM_2,96,284,
050280,IMM_1a,94,162,
050281,IMM_2,89,288,2
050281,IMM_1a,94,238,2
050283,IMM_2,94,318,
050283,IMM_1a,89,213,
050289,IMM_2,66,276,2
050289,IMM_1a,78,208,2
050290,IMM_2,65,262,2
050290,IMM_1a,62,163,2
050291,IMM_2,79,254,
050291,IMM_1a,81,132,
050292,IMM_2,78,275,2
050292,IMM_1a,82,102,2
050295,IMM_2,91,313,
050295,IMM_1a,92,144,
050296,IMM_2,66,150,2
050296,IMM_1a,78,115,2
050298,IMM_2,100,148,2
050298,IMM_1a,100,104,2
050300,IMM_2,96,255,2
050300,IMM_1a,100,153,2
050301,IMM_2,69,204,2
050301,IMM_1a,82,116,2
050305,IMM_2,82,233,
050305,IMM_1a,71,110,
050308,IMM_2,96,232,
050308,IMM_1a,92,106,
050309,IMM_2,88,299,
050309,IMM_1a,96,178,
050313,IMM_2,94,212,
050313,IMM_1a,95,132,
050315,IMM_2,59,244,
050315,IMM_1a,78,55,
050320,IMM_2,71,548,
050320,IMM_1a,81,259,
050324,IMM_2,92,361,
050324,IMM_1a,94,177,
050327,IMM_2,81,309,
050327,IMM_1a,81,125,
050329,IMM_2,85,301,
050329,IMM_1a,92,184,
050334,IMM_2,87,267,
050334,IMM_1a,93,152,
050335,IMM_2,100,229,2
050335,IMM_1a,100,146,2
050336,IMM_2,91,285,
050336,IMM_1a,97,198,
050342,IMM_2,65,284,
050342,IMM_1a,91,155,
050348,IMM_2,84,278,2
050348,IMM_1a,84,113,2
050349,IMM_2,8,132,
050349,IMM_1a,11,66,
050350,IMM_2,63,278,
050350,IMM_1a,69,166,
050351,IMM_2,94,348,2
050351,IMM_1a,79,219,2
050352,IMM_2,90,123,
050352,IMM_1a,91,55,
050353,IMM_2,97,281,2
050353,IMM_1a,97,159,2
050357,IMM_2,96,166,
050357,IMM_1a,94,97,
050359,IMM_2,52,215,
050359,IMM_1a,79,102,
050360,IMM_2,71,308,
050360,IMM_1a,68,195,
050367,IMM_2,86,275,
050367,IMM_1a,92,171,
050373,IMM_2,87,297,2
050373,IMM_1a,90,94,2
050376,IMM_2,85,285,2
050376,IMM_1a,86,112,2
050378,IMM_2,19,247,
050378,IMM_1a,24,118,
050380,IMM_2,100,248,2
050380,IMM_1a,89,132,2
050382,IMM_2,90,262,
050382,IMM_1a,92,155,
050385,IMM_2,96,175,2
050385,IMM_1a,93,123,2
050390,IMM_2,77,271,2
050390,IMM_1a,79,207,2
050393,IMM_2,76,285,
050393,IMM_1a,95,189,
050394,IMM_2,72,455,
